title,score,date,airline,source
Busfahren mit dem Luftbus,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Same person double booked due to airline website error,1,2023-05-01,LUFTHANSA,TRIPADVISOR
My poor choice of airline!!!,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Lost Luggage / False guarantees,1,2022-06-01,LUFTHANSA,TRIPADVISOR
M,1,2023-05-01,LUFTHANSA,TRIPADVISOR
"Almost a scam, no support",1,2023-03-01,LUFTHANSA,TRIPADVISOR
"Bad start, amazing end thanks to Antonella🫶",5,2023-05-01,LUFTHANSA,TRIPADVISOR
Grausam,1,2023-03-01,LUFTHANSA,TRIPADVISOR
"La nourriture et dégueulasse ( pas de télévision) aucune colasion pendant 10h30de vol , le service et déplorable",1,2023-05-01,LUFTHANSA,TRIPADVISOR
Denunciados a Policía Nacional por Fraude por no emitir billetes pagados,1,2023-05-01,LUFTHANSA,TRIPADVISOR
"Worst, most difficult airline to ever exist!!!!",1,2023-05-01,LUFTHANSA,TRIPADVISOR
Katastrophaler Service,1,2023-05-01,LUFTHANSA,TRIPADVISOR
Weit weg vom Service früherer Tage,1,2023-05-01,LUFTHANSA,TRIPADVISOR
$1700 for my flight and they charged for coffee on the plane.,1,2023-05-01,LUFTHANSA,TRIPADVISOR
Decepcionante atención,2,2023-05-01,LUFTHANSA,TRIPADVISOR
Un cauchemar : ce sont des voleurs !,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Terrible seating experience,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Não valeu a pena,2,2023-04-01,LUFTHANSA,TRIPADVISOR
Uma triste experiência,2,2023-03-01,LUFTHANSA,TRIPADVISOR
Da sopprimere,1,2023-05-01,LUFTHANSA,TRIPADVISOR
Flugumbuchung Lufthansa,1,2023-05-01,LUFTHANSA,TRIPADVISOR
Mala atención al efectuar el check in,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Good servive but with issues.,3,2023-05-01,LUFTHANSA,TRIPADVISOR
Finger weg,1,2023-05-01,LUFTHANSA,TRIPADVISOR
Nice airplanes but horrific customer service,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Luggage lost every time.,1,2023-05-01,LUFTHANSA,TRIPADVISOR
review is of booking system,1,2023-05-01,LUFTHANSA,TRIPADVISOR
Einfach nur noch eng und ohne Service,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Terrible airline.,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Lufthansa-nie wieder!,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Worst check in experience,1,2023-04-01,LUFTHANSA,TRIPADVISOR
worse airline.,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Worst pre-flight experience ever,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Airline mit sehr vielen Mängeln,2,2023-04-01,LUFTHANSA,TRIPADVISOR
"Tiny, narrow seats with no legroom even with buying extra legroom space",1,2023-04-01,LUFTHANSA,TRIPADVISOR
As Bad as a Discount Airline,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Worse than a low cost!,1,2023-04-01,LUFTHANSA,TRIPADVISOR
"Terrible, disgusting appalling thieves",1,2023-04-01,LUFTHANSA,TRIPADVISOR
Styr unna! Elendig kundeservice og useriøst.,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Don't book with Lufthansa,1,2022-12-01,LUFTHANSA,TRIPADVISOR
"Disgusting, appalling substandard, absolutely crap",1,2022-06-01,LUFTHANSA,TRIPADVISOR
Lufthansa Cancels Premium Economy seating so it can sell seats at a higher price,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Lufthansa Group – Anspruch und Wirklichkeit,1,2023-02-01,LUFTHANSA,TRIPADVISOR
Très mauvaise expérience. Je ne vous recommande pas cette compagnie aérienne,1,2023-02-01,LUFTHANSA,TRIPADVISOR
Just terrible- avoid this airline.,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Lufthansa gebucht - Eurowings und Edelweis geflogen ???,2,2023-04-01,LUFTHANSA,TRIPADVISOR
The most uncomfortable flight ever .please don't use Lufthansa,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Keine Langstrecke mit Lufthansa !,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Decisamente caduta in basso ⛔️,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Cancelled flight and stranded with no assistance nor reimbursement,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Von Boarding über Service bis hin zu Ankunft absolute Kastastrophe,2,2023-04-01,LUFTHANSA,TRIPADVISOR
Brilliant experience mainly by the cabin crew,5,2023-04-01,LUFTHANSA,TRIPADVISOR
Nous avons failli rester bloqué à l'étranger,2,2023-04-01,LUFTHANSA,TRIPADVISOR
Fuja!,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Absolutes Desaster,1,2022-09-01,LUFTHANSA,TRIPADVISOR
Худший сервис!,2,2023-04-01,LUFTHANSA,TRIPADVISOR
Really horrible customer services experience. Dysfunctional IT systems. Given the run-around.,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Exceptional,5,2023-04-01,LUFTHANSA,TRIPADVISOR
Pésima atención al cliente,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Flight cancelled 2 days before,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Don't pay extra to book a seat; chances seem to be you'll not get it,2,2023-04-01,LUFTHANSA,TRIPADVISOR
La peggior compagnia aerea del mondo!,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Horrible flight.,1,2022-12-01,LUFTHANSA,TRIPADVISOR
LH gebucht - Eurowings bekommen,2,2023-04-01,LUFTHANSA,TRIPADVISOR
Aucune considération pour les clients,1,2023-04-01,LUFTHANSA,TRIPADVISOR
4/4 of my flights went wrong. Lufthansa accepted no liability,1,2022-12-01,LUFTHANSA,TRIPADVISOR
Worst customer service ever,1,2022-07-01,LUFTHANSA,TRIPADVISOR
The holiday of a lifetime?,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Müll Airline und Müll Service absolute Katastrophe.,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Worst customer service,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Worst customer service in Hungary,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Beware: Fraudulent charges on credit card,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Appalling Customer Service,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Lufthansa group? Never again,1,2023-04-01,LUFTHANSA,TRIPADVISOR
El peor servicio de atención post-venta que conozco en una compañía aerea,1,2023-04-01,LUFTHANSA,TRIPADVISOR
The worst international airline but what can you do,1,2022-12-01,LUFTHANSA,TRIPADVISOR
"Whatever you do, don’t book with them",1,2023-04-01,LUFTHANSA,TRIPADVISOR
Wrong Display at the Check In Island/Counter,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Unpünktlich - schlechtes Bodenservice - Unfreundlich,2,2023-04-01,LUFTHANSA,TRIPADVISOR
Unterirdischer Service und empfundener Betrug,1,2022-05-01,LUFTHANSA,TRIPADVISOR
"A late flight, a missed connection and a 14 hour wait. Not impressed!!",1,2023-04-01,LUFTHANSA,TRIPADVISOR
RUDE STEWARD J.WALEK(GLASKOW TO FRANKFURT),2,2023-03-01,LUFTHANSA,TRIPADVISOR
Kein Entgegenkommen,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Lufthansa Stole my money and discriminated against my father,1,2022-06-01,LUFTHANSA,TRIPADVISOR
Worst experience ever with Lufthansa airline,1,2022-12-01,LUFTHANSA,TRIPADVISOR
Orland nach Frankfurt 8h Verspätung und Flughafen München war schuld??,1,2022-06-01,LUFTHANSA,TRIPADVISOR
Excellent service from the flight crew <3,5,2023-04-01,LUFTHANSA,TRIPADVISOR
Toller Flug und Service,5,2023-04-01,LUFTHANSA,TRIPADVISOR
Absolutely WORST Airline,1,2023-01-01,LUFTHANSA,TRIPADVISOR
Appalling Airline and Customer Service,1,2023-04-01,LUFTHANSA,TRIPADVISOR
"Guter Flug, nettes Personal, war sehr positiv überrascht",4,2022-10-01,LUFTHANSA,TRIPADVISOR
Your website is pathetic!!!,1,2023-04-01,LUFTHANSA,TRIPADVISOR
"Kein Service, kein Platz",1,2023-04-01,LUFTHANSA,TRIPADVISOR
CANCELACION,1,2023-03-01,LUFTHANSA,TRIPADVISOR
BEWARE! Lufthansa will keep your money if you have to cancel,1,2023-04-01,LUFTHANSA,TRIPADVISOR
das Service Center hat uns nicht sehr geholfen,1,2023-04-01,LUFTHANSA,TRIPADVISOR
아마추어 항공사,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Most likely my first and last.,2,2023-03-01,LUFTHANSA,TRIPADVISOR
Don't fly Lufthansa,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Flight service was great!,4,2023-04-01,LUFTHANSA,TRIPADVISOR
"Lamentable, muy penoso",1,2023-04-01,LUFTHANSA,TRIPADVISOR
Viaggio Srupendo,5,2023-04-01,LUFTHANSA,TRIPADVISOR
A pleasant surprise,4,2023-03-01,LUFTHANSA,TRIPADVISOR
Nie wieder mit Lufthansa,2,2023-03-01,LUFTHANSA,TRIPADVISOR
"Wie auf einem Basar, nicht mehr Deutsch",1,2023-02-01,LUFTHANSA,TRIPADVISOR
Une prestation solide,4,2022-12-01,LUFTHANSA,TRIPADVISOR
Vol sans histoire,4,2022-12-01,LUFTHANSA,TRIPADVISOR
Lufthansa one to avoid,1,2023-04-01,LUFTHANSA,TRIPADVISOR
"Nie wieder Lufthansa, schlechter geht es nicht!",1,2023-03-01,LUFTHANSA,TRIPADVISOR
Service client zéro,1,2022-05-01,LUFTHANSA,TRIPADVISOR
Customer-friendliness of Aeroflot,1,2023-04-01,LUFTHANSA,TRIPADVISOR
"Flight Canceled, CASE CLOSED, No Reimbursement",1,2022-05-01,LUFTHANSA,TRIPADVISOR
Appalling customer service,1,2023-03-01,LUFTHANSA,TRIPADVISOR
"Hoher Preis, wenig Service",1,2023-03-01,LUFTHANSA,TRIPADVISOR
Seit 8 Monaten keine Erstattung der Tickets,1,2022-08-01,LUFTHANSA,TRIPADVISOR
Eurowings Discover im Auftrag der Lufthansa,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Il y a bien mieux,2,2023-04-01,LUFTHANSA,TRIPADVISOR
Απαράδεκτοι,1,2022-12-01,LUFTHANSA,TRIPADVISOR
Keine Reaktion auf angeforderte Bestätigung zu stornierter Reise,1,2022-11-01,LUFTHANSA,TRIPADVISOR
Lufthansa passt ihr Produkt in den Premium-Klassen nun komplett einem Low Cost Standard an.,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Volo Malpensa - Amburgo con scalo a Francoforte per crociera con Msc,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Late every time and staff couldn’t care less,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Worst customer service experience,1,2022-05-01,LUFTHANSA,TRIPADVISOR
De la M E R D E,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Umbuchungsgebühr nicht nach dem Versprechen eingehalten - anstatt 35 EUR wird 100 EUR aufgerufen,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Bagaglio arrivato con quasi una settimana di ritardo e nessun risarcimento,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Lufthansa-IT - Flugbuchung,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Not fear airline.,1,2023-01-01,LUFTHANSA,TRIPADVISOR
Slow as in the Public sector.,2,2023-04-01,LUFTHANSA,TRIPADVISOR
Necesito una factura de mi viaje y no es posible. La web dice: pagina no encontrada.,1,2023-03-01,LUFTHANSA,TRIPADVISOR
PESADILLA AL INTENTAR CARGAR LAS MILLAS DESPUÉS DEL VIAJE,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Poor service,1,2022-12-01,LUFTHANSA,TRIPADVISOR
Attention Arnaque : Mépris total du client et malhonnête....a fuire,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Not cheap and not cheerful.,1,2022-09-01,LUFTHANSA,TRIPADVISOR
vol confortable pour l'asie an A350,4,2022-05-01,LUFTHANSA,TRIPADVISOR
Zanedbané investice se nejvíc projevují v prémiových třídách,2,2023-04-01,LUFTHANSA,TRIPADVISOR
"Rechtlich klare Sachlage, interessiert LH trotzdem nicht",1,2022-11-01,LUFTHANSA,TRIPADVISOR
if only I could give them a zero!!,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Service client inexistant!,1,2023-02-01,LUFTHANSA,TRIPADVISOR
The worst bureaucratic nightmare I have experienced in my entire life,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Peor compañía de las grandes,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Flug gestrichen,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Kundenunfreundlich,2,2023-03-01,LUFTHANSA,TRIPADVISOR
Lowest quality international flight experience I have ever had.,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Unzuverlässig,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Lufthansa Sucks,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Unmöglich,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Glad you delayed my luggage,5,2023-04-01,LUFTHANSA,TRIPADVISOR
Business class seat broken for 11 hours,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Annullierung,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Horrible First Class Experience - 48 hours from Buenos Aires to Frankfurt,1,2023-01-01,LUFTHANSA,TRIPADVISOR
Mépris total du client,1,2023-04-01,LUFTHANSA,TRIPADVISOR
Worse Business Class Experience to Buenos Aires on Board the Boeing 747-800,1,2023-01-01,LUFTHANSA,TRIPADVISOR
"World-class German efficiency, professionalism and service.",4,2022-05-01,LUFTHANSA,TRIPADVISOR
Lufthansa (Oder DB),1,2023-04-01,LUFTHANSA,TRIPADVISOR
Tempo e denaro perduti,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Terrible experience,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Shameful company,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Contournement des règles de remboursement,1,2023-02-01,LUFTHANSA,TRIPADVISOR
lost luggage,1,2022-10-01,LUFTHANSA,TRIPADVISOR
Excellent Service,5,2022-11-01,LUFTHANSA,TRIPADVISOR
最悪なカスタマーサービス,1,2022-11-01,LUFTHANSA,TRIPADVISOR
Sin problemas,4,2023-03-01,LUFTHANSA,TRIPADVISOR
Your customer service team needs to be retrained!,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Bien a pesar de la huelga,4,2023-03-01,LUFTHANSA,TRIPADVISOR
First CRJ900 flight with extra space in emergency row,4,2023-03-01,LUFTHANSA,TRIPADVISOR
"Lufthansa - Unfähigkeiten, Desinteresse & Arroganz",1,2023-03-01,LUFTHANSA,TRIPADVISOR
Abandonné à Frankfurt,2,2022-07-01,LUFTHANSA,TRIPADVISOR
en timme sen,4,2023-03-01,LUFTHANSA,TRIPADVISOR
Lufthansa Misleads about Bereavement Fares,2,2023-01-01,LUFTHANSA,TRIPADVISOR
Horrible Cusdtomer service.. I was Senator.. will change my airline ASAP,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Was ist nur aus der LH geworden,1,2023-03-01,LUFTHANSA,TRIPADVISOR
UNE HONTE,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Lufthansa awarded me compensation but have not paid,1,2022-12-01,LUFTHANSA,TRIPADVISOR
Es gibt Bedarf für Verbesserungen,3,2023-03-01,LUFTHANSA,TRIPADVISOR
Mr A J Johnston,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Pior comida de avião saindo de GIG,3,2023-03-01,LUFTHANSA,TRIPADVISOR
Worst Airlines Ever…Never again,1,2023-03-01,LUFTHANSA,TRIPADVISOR
I was double charged,1,2023-03-01,LUFTHANSA,TRIPADVISOR
"Fliegt lieber KLM, oder was anderes",1,2022-04-01,LUFTHANSA,TRIPADVISOR
Lufthansa Customer Service? There is NO Customer Service at Lufthansa!,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Most Memorable Experience,1,2023-03-01,LUFTHANSA,TRIPADVISOR
NEVER BOOKING WITH LUFTHANSA AGAIN!,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Ueberaus nette Crew an Bord!,4,2023-03-01,LUFTHANSA,TRIPADVISOR
Lufthansa ist viel schlimmer als Ryanair,1,2022-12-01,LUFTHANSA,TRIPADVISOR
Bad experience even before the flight took off,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Nie wieder Lufthansa,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Lost item not found,3,2023-02-01,LUFTHANSA,TRIPADVISOR
Horror Flug mit der Lufthansa Group,1,2023-03-01,LUFTHANSA,TRIPADVISOR
"Te dejan colgado a la mínima de cambio, son unos sinvergüenzas",1,2023-03-01,LUFTHANSA,TRIPADVISOR
Voyage scolaire,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Desaster wäre noch geschönt,1,2023-02-01,LUFTHANSA,TRIPADVISOR
Woukd guve a 0 if i could,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Bad Customer Satisfaction,1,2023-03-01,LUFTHANSA,TRIPADVISOR
"Excellente prise en main, merci",5,2023-03-01,LUFTHANSA,TRIPADVISOR
"Cancelled tickets, unable to find a customer support",1,2023-03-01,LUFTHANSA,TRIPADVISOR
Terrible,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Worst Airline ever!! Avoid at all costs,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Awful service not recommended at all,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Völlig inkompetentes Personal,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Worst review,1,2023-03-01,LUFTHANSA,TRIPADVISOR
The worst experience I had for a Star Alliance Company,1,2023-01-01,LUFTHANSA,TRIPADVISOR
nice Lufthansa flight,5,2023-02-01,LUFTHANSA,TRIPADVISOR
Personnel de Check in horrible,1,2023-03-01,LUFTHANSA,TRIPADVISOR
unfassbar,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Retard bagage avec aucun suivi du dossier !!!!,1,2022-07-01,LUFTHANSA,TRIPADVISOR
Additional Charges to get a Seat Assignment?,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Lufthansa (regresso),4,2023-03-01,LUFTHANSA,TRIPADVISOR
Lufthansa,4,2023-03-01,LUFTHANSA,TRIPADVISOR
Nice flight,4,2023-03-01,LUFTHANSA,TRIPADVISOR
Ok to be economy class,3,2023-02-01,LUFTHANSA,TRIPADVISOR
Impossible Rebooking policy with a constantly moving standard of operations,1,2023-03-01,LUFTHANSA,TRIPADVISOR
cinq mois que j'attends d'être indemnisé en application de la directive européenne 261/2004...,3,2022-11-01,LUFTHANSA,TRIPADVISOR
Awful support,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Delayed bagage,1,2023-02-01,LUFTHANSA,TRIPADVISOR
"Great in flight planes and serivce, poor customer service",3,2023-02-01,LUFTHANSA,TRIPADVISOR
Short flight but good service.,4,2023-02-01,LUFTHANSA,TRIPADVISOR
Nie wieder Lufthansa!,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Adivsor to minister,1,2023-03-01,LUFTHANSA,TRIPADVISOR
"They don't investigate anything, so don't bother ...",1,2023-03-01,LUFTHANSA,TRIPADVISOR
Awful service,1,2022-12-01,LUFTHANSA,TRIPADVISOR
volo Sanpaolo -Francoforte -Bologna,2,2023-03-01,LUFTHANSA,TRIPADVISOR
Bagage retardé,3,2022-12-01,LUFTHANSA,TRIPADVISOR
Coorect,4,2022-12-01,LUFTHANSA,TRIPADVISOR
No Lufthansa!!!,1,2023-03-01,LUFTHANSA,TRIPADVISOR
LH worse every day,2,2023-01-01,LUFTHANSA,TRIPADVISOR
Stolen airfaire--very dishonest,1,2023-07-01,LUFTHANSA,TRIPADVISOR
"Die Airline ist nicht der Hit, der Hit ist die Besatzung….",3,2023-03-01,LUFTHANSA,TRIPADVISOR
Dreadful Service,2,2023-03-01,LUFTHANSA,TRIPADVISOR
Unacceptable behavior,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Greed and no service,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Lufthansa,5,2022-08-01,LUFTHANSA,TRIPADVISOR
Airline overbooked then cancel my flight for no alternative (Force me to refund),1,2023-03-01,LUFTHANSA,TRIPADVISOR
Schlechteste Airline Europas,1,2023-03-01,LUFTHANSA,TRIPADVISOR
What happen to Lufthansa?,1,2023-02-01,LUFTHANSA,TRIPADVISOR
FUYEZ,1,2023-01-01,LUFTHANSA,TRIPADVISOR
Customer Relations Department was non-responsive,1,2022-06-01,LUFTHANSA,TRIPADVISOR
Lufthansa found a new way to reduce compensation and customer service,1,2022-10-01,LUFTHANSA,TRIPADVISOR
Lufthansa: the worst way to fly,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Arnaques il ne donne pas les bon n° de réservation final on doit payer pour rentrer.,1,2022-11-01,LUFTHANSA,TRIPADVISOR
Scam after paying you get treated like beggar,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Worst Customer Service in the Industry - Will Never Fly Lufthansa Again!!,1,2022-08-01,LUFTHANSA,TRIPADVISOR
Unmöglich jemand ans Telefon zu bekommen - katastrophaler Kundeservice,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Terrible customer service and booking system,1,2023-02-01,LUFTHANSA,TRIPADVISOR
Worst customer service (flying with pets),1,2023-03-01,LUFTHANSA,TRIPADVISOR
Einfach nur eine Fluggeselschaft die einen Katastrophalen Kundendienst hat.,1,2023-01-01,LUFTHANSA,TRIPADVISOR
Not very good experience.,2,2023-03-01,LUFTHANSA,TRIPADVISOR
AVOID AT ALL COST!! ⚠️,1,2022-12-01,LUFTHANSA,TRIPADVISOR
Worst customer service ever,1,2022-12-01,LUFTHANSA,TRIPADVISOR
Painful Experience,2,2023-03-01,LUFTHANSA,TRIPADVISOR
Esperienza orribile,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Nie wieder Lufthansa!,1,2022-08-01,LUFTHANSA,TRIPADVISOR
Απογοήτευση !,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Premium Economy - a real waste of money,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Toujours pas de valises 1 semaine après ….,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Un pessimo servizio in occasione di una trasferta business importante,2,2023-03-01,LUFTHANSA,TRIPADVISOR
""" SxxM Call Centre""",1,2023-03-01,LUFTHANSA,TRIPADVISOR
Cancelled My Ticket without Any Notification,1,2023-02-01,LUFTHANSA,TRIPADVISOR
Purchasing tickets,1,2023-03-01,LUFTHANSA,TRIPADVISOR
"ZuTeuer und zu wenig Qualität, schlechter Start in den Urlaub",1,2022-12-01,LUFTHANSA,TRIPADVISOR
PIR: ANC4Y10229 e PIR: ANC4Y10230 SOLVE IT! WAITING SINCE AUGUST 2022. HOW MANY TIME DO WE HAVE TO WAIT?????????????????,1,2022-08-01,LUFTHANSA,TRIPADVISOR
Daños equipaje,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Service client incompétent,1,2023-01-01,LUFTHANSA,TRIPADVISOR
Eurowings part of the same company-awful,1,2023-01-01,LUFTHANSA,TRIPADVISOR
CHEATING COMPANY,1,2022-12-01,LUFTHANSA,TRIPADVISOR
Arnaques !!!,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Worst ever,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Horrible customer service,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Nach 6 Monaten immer noch keine Erstattung für Ersatzkäufe weil Koffer zu spät kam!,1,2022-08-01,LUFTHANSA,TRIPADVISOR
Voleurs!,1,2022-11-01,LUFTHANSA,TRIPADVISOR
"retard, pas de bagages à l'arrivée et sièges séparés !",2,2022-08-01,LUFTHANSA,TRIPADVISOR
Nie wieder!,1,2023-03-01,LUFTHANSA,TRIPADVISOR
"PENOSOS, DEBERÍAN IRSE A NIGERIA...",1,2022-06-01,LUFTHANSA,TRIPADVISOR
Schlimmste Flugreise!!!,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Långflygning med Lufthansa till New Delhi bjuder inte på några överraskningar,4,2023-02-01,LUFTHANSA,TRIPADVISOR
Horrible Customer Service - Lost and Found,1,2023-03-01,LUFTHANSA,TRIPADVISOR
So very disappointed,2,2023-03-01,LUFTHANSA,TRIPADVISOR
Do NOT pay for an assigned seats,1,2023-02-01,LUFTHANSA,TRIPADVISOR
classe affaire catastrophe,1,2023-02-01,LUFTHANSA,TRIPADVISOR
Whatever happened to this once proud airline,2,2023-03-01,LUFTHANSA,TRIPADVISOR
A fuir !!!,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Enjoyable flight,4,2023-03-01,LUFTHANSA,TRIPADVISOR
"In Post-Covid times, as bad as any airline",1,2022-05-01,LUFTHANSA,TRIPADVISOR
vol décalé de 15h,1,2023-02-01,LUFTHANSA,TRIPADVISOR
Retard et perte de bagage,1,2022-07-01,LUFTHANSA,TRIPADVISOR
Сделали нервы,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Compensation,1,2023-02-01,LUFTHANSA,TRIPADVISOR
volo Luftansa gestito da Eurowings Discover Francoforte-Mombasa e ritorno,3,2023-02-01,LUFTHANSA,TRIPADVISOR
Une compagnie low cost mais de qualité,5,2023-03-01,LUFTHANSA,TRIPADVISOR
Horrible,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Disgraceful Customer service,1,2022-12-01,LUFTHANSA,TRIPADVISOR
Correct sans plus,3,2023-01-01,LUFTHANSA,TRIPADVISOR
Vol correct,4,2023-01-01,LUFTHANSA,TRIPADVISOR
Lufthansa is not refunding a 100 Euros prepaid extra legroom that was not availiable seat even 7 months after the filght,1,2022-07-01,LUFTHANSA,TRIPADVISOR
Equipage et catering en dessous des standards,3,2023-01-01,LUFTHANSA,TRIPADVISOR
Bonne prestation en business class,4,2023-01-01,LUFTHANSA,TRIPADVISOR
Horrible,1,2022-12-01,LUFTHANSA,TRIPADVISOR
Das Geld nicht wert,2,2022-09-01,LUFTHANSA,TRIPADVISOR
Lufthansa- Weltmeister in Unmenschlichkeit,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Lufthansa staff at Mumbai BOM fails to recognize US govt issued documents,1,2022-11-01,LUFTHANSA,TRIPADVISOR
Der alte Glanz blättert ab!,1,2023-02-01,LUFTHANSA,TRIPADVISOR
Annulations = coincés à l'étranger et débrouillez-vous,1,2023-02-01,LUFTHANSA,TRIPADVISOR
Service client,2,2023-03-01,LUFTHANSA,TRIPADVISOR
Pray you don’t need to speak to customer service,1,2023-03-01,LUFTHANSA,TRIPADVISOR
"Good Flight, terrible customer service",2,2023-01-01,LUFTHANSA,TRIPADVISOR
NIET boeken bij Lufthansa,1,2022-07-01,LUFTHANSA,TRIPADVISOR
Worst experience with an airline company,1,2022-12-01,LUFTHANSA,TRIPADVISOR
Manque de professionnalisme et de politesse .,2,2023-03-01,LUFTHANSA,TRIPADVISOR
A very bad flying experience,2,2023-03-01,LUFTHANSA,TRIPADVISOR
Scam,2,2023-03-01,LUFTHANSA,TRIPADVISOR
Retraso en los 4 vuelos que tuve,2,2022-12-01,LUFTHANSA,TRIPADVISOR
Mai più,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Again a very nice experience,5,2023-02-01,LUFTHANSA,TRIPADVISOR
Billigfluglinie in teuer,2,2023-03-01,LUFTHANSA,TRIPADVISOR
The arrogance and bad service of Lufthansa,2,2022-07-01,LUFTHANSA,TRIPADVISOR
Ohne Gepäck während einer 8-tätigen Reise,1,2023-01-01,LUFTHANSA,TRIPADVISOR
Mr,1,2023-03-01,LUFTHANSA,TRIPADVISOR
Terrible journey thanks to Lufthansa,1,2023-03-01,LUFTHANSA,TRIPADVISOR
