title,score,date,airline,source
"""managed to lose my luggage""",0.5,2023-08-01,LUFTHANSA,SKYTRAX
"""delayed baggage can be frustrating""",1,2023-08-01,LUFTHANSA,SKYTRAX
"""entertainment screen did not work""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
"""No customer service""",1.5,2023-01-01,LUFTHANSA,SKYTRAX
"""misinformation, incompetence""",0.5,2023-08-01,LUFTHANSA,SKYTRAX
"""my luggage got lost""",0.5,2023-08-01,LUFTHANSA,SKYTRAX
"""Overall a pretty good airline""",1,2023-02-01,LUFTHANSA,SKYTRAX
"""Greatest customer service""",5,2023-08-01,LUFTHANSA,SKYTRAX
"""30 minutes in the heat and no updates""",0.5,2023-08-01,LUFTHANSA,SKYTRAX
"""Half an hour to board""",2,2023-08-01,LUFTHANSA,SKYTRAX
"""A very disappointing experience""",0.5,2023-08-01,LUFTHANSA,SKYTRAX
"""customer service is deeply flawed""",1,2023-08-01,LUFTHANSA,SKYTRAX
"""system is designed to avoid helping customers""",0.5,2023-02-01,LUFTHANSA,SKYTRAX
"""a very pleasant flight""",5,2023-08-01,LUFTHANSA,SKYTRAX
"""a series of nonsense emails""",1.5,2023-07-01,LUFTHANSA,SKYTRAX
"""should focus on taking care of seniors""",0.5,2023-08-01,LUFTHANSA,SKYTRAX
"""has now arrived at budget airline level""",1,2023-08-01,LUFTHANSA,SKYTRAX
"""a series of unfortunate events""",0.5,2023-08-01,LUFTHANSA,SKYTRAX
"""never going to fly with Lufthansa again""",1,2023-08-01,LUFTHANSA,SKYTRAX
"""as if it’s our fault our bags are lost""",0.5,2023-08-01,LUFTHANSA,SKYTRAX
"""the crew were kind""",0.5,2023-08-01,LUFTHANSA,SKYTRAX
"""never fly with Lufthansa again""",0.5,2023-08-01,LUFTHANSA,SKYTRAX
"""customer service after was awful""",0.5,2023-05-01,LUFTHANSA,SKYTRAX
"""not received the promised payment""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""Horrible service""",0.5,2023-08-01,LUFTHANSA,SKYTRAX
"""Arrived in Berlin and no luggage""",0.5,2023-08-01,LUFTHANSA,SKYTRAX
"""delayed because of the typhoon",1,2023-08-01,LUFTHANSA,SKYTRAX
"""started with a 7 hour delay""",2.5,2023-08-01,LUFTHANSA,SKYTRAX
"""lose luggage & call it your mistake""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""did not load the bags for the entire flight""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""best customer service possible""",5,2023-07-01,LUFTHANSA,SKYTRAX
"""A most disappointing experience""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""waste of time & money & effort""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""flights were late""",0.5,2023-08-01,LUFTHANSA,SKYTRAX
